Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	3269cfb3-0258-4c5f-89f4-11773f9276ac
Plate Name	616065245
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
5	2	1	1	2581	0.915924060442	2364	714.442470389	0.510835482767	9.16878172589	0.00291794698164	21675	0.612379312637	1590.15182066	2654.21545559	0.538627518227	227.403227005	77.9211995386	963.756992664	2.05625140906	5828.3291414	25	0	0	Below	37	InLimits	5					
4	2	1	1	2643	0.930382141506	2459	737.812118747	0.581280146027	9.18747458316	0.00304716767559	22592	0.638965927042	1933.66429759	3224.66116324	0.570133831113	246.79565375	80.3063031161	1289.15763719	1.8347910241	5957.51499899	25	0	0	Below	37	InLimits	5					
3	2	1	1	2455	0.915274949084	2247	688.340453939	0.490897153645	9.68357810414	0.00315458838189	21759	0.618592156042	1620.41194695	2762.42616848	0.547612525487	238.395907213	71.0832758858	1005.71688206	2.01949232888	5529.75672737	25	0	0	Below	37	InLimits	5					
2	2	1	1	2230	0.917937219731	2047	693.446018564	0.50413986685	8.27259404006	0.00283688507675	16934	0.607117167448	1515.13203787	2585.16475729	0.532703696142	234.354585645	83.8244950986	966.558807886	1.89322084228	5395.10699477	25	0	0	Below	37	InLimits	5					
2	3	1	1	2368	0.928631756757	2199	675.395179627	0.511260610662	7.77853569804	0.00270783060747	17105	0.599030061271	1417.01877189	2430.15948553	0.523398455653	233.870664263	86.8280619702	890.395441262	1.95011262203	5179.61799664	25	0	0	Below	37	InLimits	5					
3	3	1	1	2204	0.914246823956	2015	723.686352357	0.548810469431	8.58610421836	0.00279789310851	17301	0.622360495592	1688.90952564	2850.60840414	0.550746690655	237.011887767	84.2857638287	1090.52730065	1.911720093	5720.61676459	25	0	0	Below	37	InLimits	5					
4	3	1	1	2326	0.921324161651	2143	757.556229585	0.579451502066	9.13812412506	0.00279908008663	19583	0.616416104157	1603.72727816	2759.43088393	0.544583601634	244.597334522	82.9006280958	1150.89071252	1.66383704247	5161.22098435	25	0	0	Below	37	InLimits	5					
5	3	1	1	2429	0.928777274599	2256	762.667109929	0.558211863847	9.72207446809	0.00277345237184	21933	0.60786783578	1482.95797999	2547.82432864	0.533914133601	238.357060581	78.4469520813	1093.98347048	1.71820986462	5145.84401974	25	0	0	Below	37	InLimits	5					
6	3	1	1	2404	0.920133111481	2212	788.237793852	0.576542741639	10.6487341772	0.00286353764657	23555	0.612888115639	1553.00696482	2656.04962853	0.539569590193	250.790750994	74.0217363617	1158.03086044	1.75294770892	5263.12963227	25	0	0	Below	37	InLimits	5					
7	3	1	1	2513	0.921607640271	2316	807.271588946	0.594291895327	9.93350604491	0.00288568585031	23006	0.620058586044	1646.88116509	2813.71733461	0.548586986892	248.755634943	81.2675389029	1232.31258758	1.64880137602	5188.88881565	25	0	0	Below	37	InLimits	5					
8	3	1	1	2479	0.917305365067	2274	803.629727353	0.590083213719	11.2774846086	0.00310439898742	25645	0.626456111361	1786.59427896	2998.66114252	0.555599838146	244.310163891	71.2596607526	1273.3475889	1.71106542726	5813.90460465	25	0	0	Below	37	InLimits	5					
