Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	5c70e1c6-19e4-48a5-967a-57d2a5f3f9a7
Plate Name	490423695
Measurement	Measurement 3
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	All Cells - Number of Objects	All Cells - Non border cells - Mean per Well	Non border cells - Number of Objects	Non border cells - Total Spot Area - Mean per Well	Non border cells - Relative Spot Intensity - Mean per Well	Non border cells - Number of Spots - Mean per Well	Non border cells - Number of Spots per Area of Cell - Mean per Well	Spots Substrate - Number of Objects	Spots Substrate - Relative Spot Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - Mean per Well	Spots Substrate - Uncorrected Spot Peak Intensity - Mean per Well	Spots Substrate - Spot Contrast - Mean per Well	Spots Substrate - Spot Background Intensity - Mean per Well	Spots Substrate - Spot Area [px²] - Mean per Well	Spots Substrate - Region Intensity - Mean per Well	Spots Substrate - Spot to Region Intensity - Mean per Well	Spots Substrate - Corrected Spot Intensity - StdDev per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
12	4	1	1	2116	0.924858223062	1957	736.564128769	0.568476263545	7.78436382218	0.00228380759201	15234	0.631119575859	1767.74158139	3008.49566759	0.562127956818	245.460305982	94.6209793882	1195.71202736	1.83954435485	5548.57606659	25	0	0	InLimits	37	InLimits	5					
11	4	1	1	1992	0.925200803213	1843	711.807921867	0.568818966271	7.12154096582	0.00208317455302	13125	0.618930609447	1632.75566174	2832.89325714	0.546902178154	249.896886184	99.9513904762	1136.78388953	1.81325203997	5047.62550979	25	0	0	InLimits	37	InLimits	5					
10	4	1	1	1980	0.930808080808	1843	695.256646772	0.552831734285	6.41996744438	0.00198984891858	11832	0.623082277233	1592.06644652	2773.41607505	0.55115403864	241.068317992	108.295977011	1034.28324495	1.9124074859	4793.99580968	25	0	0	InLimits	37	InLimits	5					
9	4	1	1	1949	0.920985120575	1795	731.698607242	0.542615678903	7.39108635097	0.00216911543821	13267	0.621201490917	1614.41863279	2775.00067837	0.549140567132	239.521989701	98.9974372503	1053.70319242	1.87611699765	5352.47807484	25	0	0	InLimits	37	InLimits	5					
8	4	1	1	1842	0.923995656895	1702	735.331374853	0.564663143377	7.86368977673	0.00230601802938	13384	0.626705750334	1643.35715599	2804.76710998	0.555336051326	238.697675741	93.5097130903	1119.56899907	1.828978751	5323.74075563	25	0	0	InLimits	37	InLimits	5					
7	4	1	1	1754	0.925883694413	1624	694.775246305	0.557465194676	7.12376847291	0.0022068722897	11569	0.627777867013	1701.21721749	2936.30503933	0.556967778303	240.150081606	97.5291727894	1094.30521996	1.97811872862	5184.93892886	25	0	0	InLimits	37	InLimits	5					
6	4	1	1	1891	0.927551560021	1754	762.612314709	0.612883539293	7.8511972634	0.00225754940919	13771	0.628338580412	1867.44270802	3201.46307458	0.559979850607	264.337714788	97.1332510348	1414.61468356	1.63876831929	5349.18964596	24	0	0	InLimits	37	InLimits	5					
5	4	1	1	1782	0.929854096521	1657	690.432106216	0.541597863557	6.86602293301	0.00214797561047	11377	0.624374286185	1620.04783498	2813.27362222	0.552941575909	239.61285108	100.557792037	1052.10453664	1.85761674081	5038.87241774	25	0	0	InLimits	37	InLimits	5					
4	4	1	1	1558	0.930680359435	1450	681.514482759	0.549945861364	7.86	0.00240838083166	11397	0.631093185037	1896.48493021	3211.84232693	0.561709550371	242.022828754	86.7066771958	1151.88072266	2.00863414919	5883.36061882	25	0	0	InLimits	37	InLimits	5					
3	4	1	1	1905	0.921784776903	1756	720.923120729	0.553792137194	7.23633257403	0.00218163952414	12707	0.629659275497	1781.75539062	3055.70716928	0.559692258331	243.220380886	99.6254820178	1101.85360535	1.98867840684	5459.59948149	25	0	0	InLimits	37	InLimits	5					
